@attribute G numeric
@attribute H numeric
@attribute HR numeric
@attribute AB numeric
@attribute BA numeric
@attribute Tier_1_Awards numeric
@attribute Tier_2_Awards numeric
@attribute Tier_3_Awards numeric
@attribute hof nominal { 0.0, 1.0 }

@data
1638.0, 1580.0, 61.0, 5782.0, 0.273261847111726, 0.0, 0.0, 0.0, 0.0
565.0, 382.0, 9.0, 1581.0, 0.241619228336496, 0.0, 0.0, 0.0, 0.0
643.0, 418.0, 9.0, 1715.0, 0.243731778425656, 0.0, 0.0, 0.0, 0.0
329.0, 216.0, 16.0, 886.0, 0.243792325056433, 0.0, 0.0, 0.0, 0.0
204.0, 129.0, 6.0, 484.0, 0.266528925619835, 0.0, 0.0, 0.0, 0.0
820.0, 700.0, 8.0, 2854.0, 0.245269796776454, 0.0, 0.0, 0.0, 0.0
540.0, 474.0, 32.0, 1813.0, 0.261445118587976, 0.0, 0.0, 0.0, 0.0
944.0, 823.0, 16.0, 3290.0, 0.250151975683891, 0.0, 0.0, 0.0, 0.0
373.0, 283.0, 4.0, 1089.0, 0.259871441689624, 0.0, 0.0, 0.0, 0.0
810.0, 677.0, 122.0, 2703.0, 0.250462449130596, 0.0, 0.0, 0.0, 0.0
1184.0, 798.0, 115.0, 2879.0, 0.277179576241751, 0.0, 0.0, 0.0, 0.0
512.0, 422.0, 19.0, 1600.0, 0.26375, 0.0, 0.0, 0.0, 0.0
700.0, 387.0, 9.0, 1761.0, 0.219761499148211, 0.0, 0.0, 0.0, 0.0
452.0, 537.0, 8.0, 2114.0, 0.254020813623463, 0.0, 0.0, 0.0, 0.0
2148.0, 2660.0, 183.0, 7787.0, 0.341594965968923, 0.0, 0.0, 2.0, 1.0
349.0, 205.0, 30.0, 869.0, 0.23590333716916, 0.0, 0.0, 0.0, 0.0
1923.0, 1931.0, 27.0, 6688.0, 0.288726076555024, 0.0, 0.0, 5.0, 0.0
1468.0, 1242.0, 4.0, 4514.0, 0.275143996455472, 0.0, 0.0, 4.0, 0.0
493.0, 365.0, 3.0, 1454.0, 0.251031636863824, 0.0, 0.0, 0.0, 0.0
194.0, 131.0, 0.0, 506.0, 0.258893280632411, 0.0, 0.0, 0.0, 0.0
206.0, 283.0, 3.0, 1011.0, 0.279920870425321, 0.0, 0.0, 0.0, 0.0
923.0, 853.0, 80.0, 2857.0, 0.298564928246412, 0.0, 0.0, 0.0, 0.0
1044.0, 935.0, 9.0, 3677.0, 0.25428338319282, 0.0, 0.0, 1.0, 0.0
543.0, 306.0, 33.0, 1204.0, 0.254152823920266, 0.0, 0.0, 0.0, 0.0
216.0, 79.0, 9.0, 378.0, 0.208994708994709, 0.0, 0.0, 0.0, 0.0
